DATE,MDBALT5URN
7/1/2014,9
8/1/2014,9
9/1/2014,8.1
10/1/2014,8
11/1/2014,8
12/1/2014,7.8
1/1/2015,8.7
2/1/2015,8.3
3/1/2015,7.9
4/1/2015,7.4
5/1/2015,7.6
6/1/2015,7.9
7/1/2015,8.1
8/1/2015,8
9/1/2015,7.2
10/1/2015,7.3
11/1/2015,7.1
12/1/2015,7
1/1/2016,7.2
2/1/2016,7
3/1/2016,7
4/1/2016,6.5
5/1/2016,6
6/1/2016,6.4
7/1/2016,6.6
8/1/2016,6.9
9/1/2016,5.8
10/1/2016,6
11/1/2016,5.9
