year,geo_name,geo,nativity_foreign,nativity_foreign_18to24,nativity_foreign_18to24_moe,nativity_foreign_25to34,nativity_foreign_25to34_moe,nativity_foreign_35to44,nativity_foreign_35to44_moe,nativity_foreign_45to54,nativity_foreign_45to54_moe,nativity_foreign_55to59,nativity_foreign_55to59_moe,nativity_foreign_5to17,nativity_foreign_5to17_moe,nativity_foreign_60to61,nativity_foreign_60to61_moe,nativity_foreign_62to64,nativity_foreign_62to64_moe,nativity_foreign_65to74,nativity_foreign_65to74_moe,nativity_foreign_75over,nativity_foreign_75over_moe,nativity_foreign_moe,nativity_foreign_under5,nativity_foreign_under5_moe,nativity_us,nativity_us_moe,nativity_us_under5,nativity_us_under5_moe,nativity_us_5to17,nativity_us_5to17_moe,nativity_us_18to24,nativity_us_18to24_moe,nativity_us_25to34,nativity_us_25to34_moe,nativity_us_35to44,nativity_us_35to44_moe,nativity_us_45to54,nativity_us_45to54_moe,nativity_us_55to59,nativity_us_55to59_moe,nativity_us_60to61,nativity_us_60to61_moe,nativity_us_62to64,nativity_us_62to64_moe,nativity_us_65to74,nativity_us_65to74_moe,nativity_us_75over,nativity_us_75over_moe
2013,"Baltimore, MD","16000US2404000",36.3,5607.0,485.0,13453.0,565.0,9082.0,649.0,6184.0,498.0,2316.0,346.0,2117.0,336.0,983.0,190.0,1176.0,214.0,2472.0,276.0,2128.0,299.0,0.6,500.0,154.0,34.2,0.2,41044.0,572.241,88955.0,1051.94,69297.0,1592.95,93923.0,1650.54,66551.0,1409.23,79817.0,1358.59,35739.0,905.133,13685.0,765.362,17618.0,856.612,37188.0,872.565,31610.0,790.206
2014,"Baltimore, MD","16000US2404000",36.6,3693.0,957.0,15834.0,2469.0,10457.0,1435.0,6377.0,1425.0,1894.0,607.0,2802.0,792.0,609.0,356.0,1271.0,592.0,3464.0,790.0,2015.0,625.0,1.3,206.0,215.0,34.2,0.3,41466.0,985.741,87374.0,2355.62,64003.0,2899.41,99487.0,3691.58,64758.0,3019.65,74004.0,2376.43,39820.0,2578.78,13078.0,1547.4,18953.0,1918.93,40744.0,2036.65,30484.0,1658.12
